games_year,avg_height,avg_weight
1896,174.33,64.08
1900,175.1,49.25
1904,175.77,44.72
1906,177.23,63.5
1908,176.62,57.74
1912,177.41,60.86
1920,175.82,46.37
1924,175.61,47.96
1928,175.81,52.55
1932,174.31,32.42
1936,176.21,55.87
1948,177.01,64.55
1952,176.61,67.03
1956,175.85,70.59
1960,174.99,70.58
1964,175.14,71.4
1968,175.66,71.87
1972,176.3,71.82
1976,176.6,72.46
1980,177.05,72.68
1984,176.82,71.84
1988,177.11,72.45
1992,177.43,72.29
1994,175.9,72.94
1996,177.36,72.32
1998,174.96,72.53
2000,177.15,72.46
2002,175.23,72.62
2004,177.03,72.66
2006,175.03,72.0
2008,177.07,72.31
2010,175.34,72.03
2012,177.04,71.17
2014,175.19,69.0
2016,176.68,71.54
